trial,label,status,solver_success,mission_success,mission_success_slack,raw_path_ok,path_ok_slack,progress,time_s,downrange_km,ellipsoidal_altitude_km,velocity_m_s,mass_kg,x_m,y_m,z_m
6,rand_05,PASS_RAW,1,1,1,1,1,0.903333333333,540.699369915,1722.57279342,416.455080486,6740.29286529,407698.55635,1296443.2951,-6063847.33119,2768929.31687
6,rand_05,PASS_RAW,1,1,1,1,1,0.906666666667,542.694570542,1734.3873884,416.923526609,6768.14026811,404548.86823,1309699.44674,-6062426.70413,2766963.22338
6,rand_05,PASS_RAW,1,1,1,1,1,0.91,544.689771169,1746.25375549,417.376164254,6796.22962136,401399.157458,1323003.05161,-6060960.55416,2764970.28536
6,rand_05,PASS_RAW,1,1,1,1,1,0.913333333333,546.684971796,1758.17315164,417.812690054,6824.54550707,398249.392113,1336355.10394,-6059447.7693,2762949.86204
6,rand_05,PASS_RAW,1,1,1,1,1,0.916666666667,548.680172423,1770.14623951,418.233033582,6853.1097704,395099.591003,1349756.05579,-6057887.8058,2760901.64262
6,rand_05,PASS_RAW,1,1,1,1,1,0.92,550.67537305,1782.16994195,418.638152392,6881.90955406,391949.755926,1363202.9505,-6056283.32036,2758827.21129
6,rand_05,PASS_RAW,1,1,1,1,1,0.923333333333,552.670573677,1794.24968449,419.026534051,6910.95202187,388799.847261,1376700.55736,-6054629.56943,2756723.7863
6,rand_05,PASS_RAW,1,1,1,1,1,0.926666666667,554.665774304,1806.38331039,419.398917096,6940.25280084,385649.902118,1390246.76131,-6052928.45327,2754592.50034
6,rand_05,PASS_RAW,1,1,1,1,1,0.93,556.660974931,1818.57229645,419.754904521,6969.80744594,382499.894426,1403842.72277,-6051178.62922,2752432.58385
6,rand_05,PASS_RAW,1,1,1,1,1,0.933333333333,558.656175558,1830.81538114,420.095012682,6999.60709719,379349.807759,1417487.16058,-6049381.26106,2750244.7286
6,rand_05,PASS_RAW,1,1,1,1,1,0.936666666667,560.651376185,1843.1146501,420.418685673,7029.68141735,376199.674787,1431181.77447,-6047534.4861,2748027.85847
6,rand_05,PASS_RAW,1,1,1,1,1,0.94,562.646576812,1855.47258254,420.725284474,7060.02042561,373049.431499,1444928.59572,-6045636.11421,2745780.70493
6,rand_05,PASS_RAW,1,1,1,1,1,0.943333333333,564.641777439,1867.88600439,421.015854858,7090.62572572,369899.105744,1458724.64118,-6043688.96958,2743504.93657
6,rand_05,PASS_RAW,1,1,1,1,1,0.946666666667,566.636978066,1880.3528995,421.291028405,7121.49280787,366748.710011,1472567.97098,-6041694.79805,2741201.59418
6,rand_05,PASS_RAW,1,1,1,1,1,0.95,568.632178693,1892.88106997,421.548672725,7152.63771705,363598.139231,1486465.31055,-6039646.75792,2738866.67991
6,rand_05,PASS_RAW,1,1,1,1,1,0.953333333333,570.62737932,1905.46802997,421.789610888,7184.07910219,360447.478029,1500414.28821,-6037547.0502,2736501.4986
6,rand_05,PASS_RAW,1,1,1,1,1,0.956666666667,572.622579947,1918.11363892,422.013929415,7215.80443115,357296.66814,1514414.5985,-6035395.75801,2734106.11972
6,rand_05,PASS_RAW,1,1,1,1,1,0.96,574.617780574,1930.81839906,422.22163308,7247.81153259,354145.638307,1528466.52008,-6033192.49549,2731680.32632
6,rand_05,PASS_RAW,1,1,1,1,1,0.963333333333,576.612981201,1943.58274152,422.412674372,7280.12538914,350994.47605,1542570.25053,-6030936.86972,2729223.90624
6,rand_05,PASS_RAW,1,1,1,1,1,0.966666666667,578.608181828,1956.40780797,422.586805288,7312.72920376,347842.996677,1556726.60636,-6028627.86309,2726736.28186
6,rand_05,PASS_RAW,1,1,1,1,1,0.97,580.603382454,1969.29746946,422.743105469,7345.66276955,344691.224056,1570938.75147,-6026262.12741,2724215.50785
6,rand_05,PASS_RAW,1,1,1,1,1,0.973333333333,582.598583081,1982.24118707,422.884533083,7378.87705588,341539.229214,1585197.42879,-6023848.89581,2721666.99606
6,rand_05,PASS_RAW,1,1,1,1,1,0.976666666667,584.593783708,1995.25246432,423.007490368,7412.41998104,338386.514028,1599514.07851,-6021376.32931,2719083.8467
6,rand_05,PASS_RAW,1,1,1,1,1,0.98,586.588984335,2008.3295614,423.112586251,7446.31879177,335233.34449,1613886.99741,-6018845.98617,2716466.98565
6,rand_05,PASS_RAW,1,1,1,1,1,0.983333333333,588.584184962,2021.46337559,423.20234363,7480.51160246,332079.459027,1628308.24373,-6016265.84006,2713821.08177
6,rand_05,PASS_RAW,1,1,1,1,1,0.986666666667,590.579385589,2034.66586455,423.273681443,7515.06786817,328923.982363,1642787.82691,-6013625.45574,2711140.05962
6,rand_05,PASS_RAW,1,1,1,1,1,0.99,592.574586216,2047.93165212,423.328129705,7549.98215855,325767.205918,1657320.98725,-6010929.55702,2708426.69002
6,rand_05,PASS_RAW,1,1,1,1,1,0.993333333333,594.569786843,2061.26281923,423.365206971,7585.26723339,322606.756979,1671909.30419,-6008176.33143,2705679.93222
6,rand_05,PASS_RAW,1,1,1,1,1,0.996666666667,596.56498747,2074.66425937,423.383797472,7621.05524252,319435.132966,1686556.72583,-6005361.62344,2702897.36877
6,rand_05,PASS_RAW,1,1,1,1,1,1,598.560188097,2088.12735951,423.386218981,7657.2726703,316255.910107,1701255.85177,-6002493.05213,2700083.44229
7,rand_06,PASS_RAW,1,1,1,1,1,0,0,0,0.00500001743436,418.310237491,4975000,-714699.243182,-5691776.87302,2778765.39479
7,rand_06,PASS_RAW,1,1,1,1,1,0.00333333333333,1.995200627,0.00149252154783,0.0153802428996,419.942668284,4928711.58406,-713870.806618,-5691890.25945,2778769.90262
7,rand_06,PASS_RAW,1,1,1,1,1,0.00666666666667,3.99040125401,0.00606963421345,0.0467156201318,421.948062243,4882423.26003,-713041.646453,-5692022.63891,2778783.50869
7,rand_06,PASS_RAW,1,1,1,1,1,0.01,5.98560188101,0.014051258265,0.100027392815,424.402955758,4836135.03678,-712211.540612,-5692174.96508,2778806.65089
7,rand_06,PASS_RAW,1,1,1,1,1,0.0133333333333,7.98080250802,0.0256552220006,0.174942448447,427.366046035,4789846.92453,-711380.229574,-5692346.93945,2778839.15921
