phase,interval_index,solver_ok,end_position_error_m,end_velocity_error_m_s,end_mass_error_kg,max_relative_error,sampled_max_q_pa,sampled_max_g,q_margin_pa,g_margin
boost,93,1,2.74606742782e-07,4.98254351038e-09,4.65661287308e-10,3.36624182248e-12,11115.1336522,2.98677673101,-23884.8663478,-1.01322326899
boost,94,1,6.27131092257e-06,1.65865245941e-05,4.65661287308e-10,1.32596640837e-08,10431.1865033,3.01614256696,-24568.8134967,-0.98385743304
boost,95,1,2.6614823927e-07,3.37913483978e-09,0,2.05215371708e-12,9743.98994134,3.04606518324,-25256.0100587,-0.953934816762
boost,96,1,2.69756005203e-07,2.68443870325e-09,4.65661287308e-10,1.64230736887e-12,9071.00883243,3.07655067894,-25928.9911676,-0.92344932106
boost,97,1,2.76555078101e-07,2.07514382088e-09,0,1.2848721316e-12,8435.9887909,3.10761835646,-26564.0112091,-0.892381643536
boost,98,1,2.83802528289e-07,1.54372913481e-09,0,9.72617908099e-13,7837.540097,3.13928563099,-27162.459903,-0.86071436901
boost,99,1,2.94920704485e-07,1.08965633983e-09,0,6.99040257466e-13,7274.25500125,3.17157031349,-27725.7449988,-0.828429686513
boost,100,1,3.06542388537e-07,7.3146200622e-10,0,4.57731182651e-13,6744.71639352,3.20449068309,-28255.2836065,-0.79550931691
boost,101,1,3.19489310781e-07,5.44410098037e-10,0,7.21387157236e-13,6247.50557207,3.23806556617,-28752.4944279,-0.761934433832
boost,102,1,3.34183356598e-07,6.16412280287e-10,9.31322574615e-10,9.86160022887e-13,5781.20917372,3.27231442079,-29218.7908263,-0.727685579213
boost,103,1,3.50784227129e-07,8.52388680827e-10,4.65661287308e-10,1.22874623106e-12,5344.42532535,3.30725742523,-29655.5746746,-0.692742574766
boost,104,1,3.67804348237e-07,1.14082443678e-09,9.31322574615e-10,1.45606248654e-12,4935.76907473,3.3429155693,-30064.2309253,-0.657084430696
boost,105,1,3.86206176481e-07,1.44456633523e-09,0,1.67209808958e-12,4553.87715594,3.3793107471,-30446.1228441,-0.620689252897
boost,106,1,4.05745259009e-07,1.75492974276e-09,4.65661287308e-10,1.8826065521e-12,4197.41214191,3.41646585032,-30802.5878581,-0.583534149675
boost,107,1,2.36842581965e-06,1.75096373622e-06,4.65661287308e-10,1.07860836719e-09,3865.06603298,3.45439532184,-31134.933967,-0.545604678157
boost,108,1,4.45746240657e-07,2.45911331537e-09,4.65661287308e-10,2.34726908903e-12,3555.56313101,3.4931339456,-31444.436869,-0.506866054405
boost,109,1,4.674817242e-07,2.78826968212e-09,4.65661287308e-10,2.55075246706e-12,3267.66288458,3.53270944581,-31732.3371154,-0.46729055419
boost,110,1,4.92480788486e-07,3.13101515048e-09,0,2.75898431212e-12,3000.16231797,3.57314949597,-31999.837682,-0.426850504033
