run,thrust_multiplier,isp_multiplier,density_multiplier,altitude_error_m,velocity_error_m_s,fuel_margin_kg,strict_success,q_ok,g_ok,status
111,1.01373254413,0.979434488708,0.821315836943,114638.106592,354.978141413,181951.430348,0,1,0,MISS
112,0.979648028745,0.995040462669,1.12438465892,-79855.8901223,-216.311397781,231611.000398,0,0,0,MISS
113,1.02675440721,0.993163445267,1.12018860705,137457.991299,421.365228624,183127.858102,0,0,0,MISS
114,1.00328023868,1.00661802912,0.903608047388,495.047027373,-5.41252621327,219656.939448,1,1,1,PASS
115,0.991355493759,0.988090841951,0.984845770505,-10650.9048758,-23.4179934588,213145.790679,0,1,0,MISS
116,0.983891350917,0.992155816418,1.00241735137,-53201.9530948,-145.425191201,224588.800771,0,1,0,MISS
117,0.991366977259,1.01781888121,0.981950806226,-77131.1599883,-222.943020044,241958.306691,0,0,1,MISS
118,0.993305836437,0.98633281731,0.989504057515,2138.25747192,14.7799011939,209441.792043,1,1,1,PASS
119,0.96569682469,1.00056535575,0.774657373363,-146480.174967,-405.643232739,250673.031499,0,1,1,MISS
120,1.01750018412,0.996674622273,0.804539823419,89027.6330724,259.571076082,195843.036212,0,1,0,MISS
121,0.983614021552,1.00164925932,0.896497015837,-74141.3225121,-210.794659364,234105.82622,0,1,1,MISS
122,1.02725122507,1.00154281889,0.883374463541,121069.192771,355.661506453,191147.515613,0,1,0,MISS
123,1.01823126654,0.996990807073,1.09090927396,88508.4879471,265.920019985,195440.237707,0,0,0,MISS
124,1.00560034309,1.02184599684,1.05292776196,-25419.5660528,-81.8667326196,232033.198366,0,0,1,MISS
125,1.00119207766,0.995097691288,1.1051547017,15503.4087239,50.9461804041,210371.548036,0,0,0,MISS
126,0.956323402217,0.99633295249,0.814277519625,-177721.975908,-482.676080845,255893.901948,0,1,1,MISS
127,0.999379780317,1.01372609283,1.04893615637,-34439.7158396,-103.026683604,230315.581861,0,0,1,MISS
128,1.01399440538,1.01405292264,1.0872210834,28692.4986797,76.2591008131,216452.193734,0,0,0,MISS
129,1.01760699507,0.986995010776,1.10974614837,110436.618598,342.776743046,185888.721496,0,0,0,MISS
130,1.00528174532,1.00179788603,1.04473601868,18815.8952511,54.3254380287,212974.908374,0,0,0,MISS
131,0.996978459025,0.997790035947,1.16063717627,-10273.2746786,-23.2432722397,217195.522929,0,0,1,MISS
132,1.01832370168,0.990233689449,1.07573769201,105939.542193,324.834344013,188493.671605,0,0,0,MISS
133,0.988583155387,0.997010002531,1.1002457431,-44846.2779644,-121.85119607,224709.136313,0,0,1,MISS
134,1.01863932255,1.00647854839,1.01065958158,68222.1355621,195.072579445,204511.097264,0,0,0,MISS
135,1.00845300749,0.989996669169,1.0551279256,61208.3195272,188.256619911,198058.417238,0,0,0,MISS
136,0.999978415182,0.998053030709,1.05853972622,3710.77364899,13.5851681061,214497.967,0,0,1,PATH
137,1.00167027128,0.990349397659,0.943537124476,30780.5127292,94.281990534,205151.806854,0,1,0,MISS
138,0.980555055291,1.01087261187,0.875418440049,-106881.272564,-302.676298458,245895.388053,0,1,1,MISS
139,1.02829170694,1.00305732842,0.916757715952,121757.562215,357.371685262,191650.662263,0,1,0,MISS
140,1.00903454984,0.99067339013,1.09715902186,61751.3916485,190.544378243,198165.355511,0,0,0,MISS
141,1.02439508547,0.998288331405,0.976208107102,114978.897512,342.479597452,190672.751486,0,0,0,MISS
142,0.997263893545,0.992540204507,1.21743329925,2568.52046143,18.5147766441,211714.251678,0,0,1,PATH
143,0.98195289383,0.995950067133,1.08121939276,-71244.7365268,-194.623249882,230219.184546,0,0,1,MISS
144,0.984384175056,1.00938422983,0.89907247917,-87689.8105763,-250.477262186,240757.154708,0,1,1,MISS
145,1.00663290293,1.01704324048,0.972673146352,-9192.0525639,-36.6319809248,226463.613454,0,1,1,MISS
146,1.00737576418,0.984193903607,0.994876791901,71205.664048,221.5849362,193227.641131,0,0,0,MISS
147,1.00943665337,1.00387010369,0.899546798428,34238.6032193,93.5658042552,210941.467236,0,1,0,MISS
148,1.00605473074,0.990611778386,1.15966863624,47594.9244381,150.089112966,201061.804779,0,0,0,MISS
149,1.00628017225,0.99520182658,0.690676191574,42871.1895782,119.09539452,205446.267778,0,1,0,MISS
150,0.994241465349,0.997958993475,0.967124702913,-20403.8983591,-57.7941632209,220059.600711,0,1,1,MISS
151,0.99556694668,1.00721081557,1.22056227319,-38780.7647669,-106.662351606,227766.524337,0,0,1,MISS
152,0.974306199165,1.00153771407,0.793304225184,-112355.646353,-316.338943187,243139.375609,0,1,1,MISS
153,1.00945932395,1.00007514882,1.10900151038,40883.6620485,121.73020909,207165.973538,0,0,0,MISS
154,0.993544308357,0.990986987169,0.953180984599,-7261.14227516,-16.4876613765,213857.205777,0,1,1,MISS
155,1.01680506926,0.992124525668,1.09178735164,93981.5429021,286.839926042,191926.944188,0,0,0,MISS
156,1.02200419795,1.00988331873,0.879960152325,76770.6278558,214.248201471,204590.115371,0,1,0,MISS
157,0.990477107083,1.01066315546,1.05726953715,-66453.484755,-188.980239623,236041.043844,0,0,1,MISS
158,0.968269694336,0.996435154307,0.833489491397,-127747.044054,-353.697276997,244198.306797,0,1,1,MISS
159,1.00674249382,1.00578907626,1.07993205457,15627.8450151,43.5874480078,215463.123545,0,0,1,MISS
160,0.984164102012,0.998269281865,1.02062328947,-65962.998553,-183.138902466,230293.541965,0,0,1,MISS
161,0.995960147934,1.02285557787,1.10978258224,-70110.7566761,-202.109302003,242258.895973,0,0,1,MISS
162,1.00918439187,0.994214176375,1.02657066918,54615.8845524,164.362865832,201585.142036,0,0,0,MISS
163,1.00780812799,0.99625778657,1.2671364926,40719.5652877,128.586825754,204991.899659,0,0,0,MISS
164,0.961635762544,0.998966940969,1.04826961373,-164765.508455,-442.799774455,253152.633119,0,0,1,MISS
165,0.97228343742,1.00242179705,0.927536643062,-124867.194487,-345.246029448,245968.113953,0,1,1,MISS
166,0.960500870701,0.9960357941,0.985073933537,-162313.274002,-437.882334371,251487.038172,0,0,1,MISS
167,1.00100914825,1.01315652299,1.00573873916,-25501.4913099,-79.2347398756,228188.635135,0,0,1,MISS
168,0.993049053863,0.995787052462,0.941375603275,-20384.8563186,-57.2255088024,219100.019031,0,1,1,MISS
169,0.988524472958,0.987187683906,0.971655605536,-20994.1604153,-52.8211251736,215063.578997,0,1,1,MISS
170,1.01425610677,1.00047669658,0.797487328301,65111.5317023,184.255068128,202848.662646,0,1,0,MISS
171,1.01419449977,1.00108852468,1.03635706333,60707.0886685,177.512155847,203518.47686,0,0,0,MISS
172,1.02178351503,1.01046260632,1.08529818342,72098.841696,205.775866616,205375.541105,0,0,0,MISS
173,0.979296568499,1.00975758488,0.967103805833,-111239.587168,-310.822718396,246067.566189,0,1,1,MISS
174,0.988664750365,0.992030549867,0.941955390674,-31154.613219,-85.4524241904,219732.795013,0,1,1,MISS
175,0.988779835742,0.98987018567,0.881300694079,-24951.6837077,-68.3965863774,217478.933839,0,1,1,MISS
176,0.981421023798,1.00638570695,1.05321964749,-96141.2067402,-267.023933121,240795.165084,0,0,1,MISS
177,1.01883069095,1.01483824444,1.03785516417,49021.3664567,133.327803682,212525.981579,0,0,0,MISS
178,1.00557348767,1.02137735576,0.950074344205,-23160.2376288,-78.4648377696,231614.944719,0,1,1,MISS
179,0.983470116041,0.996069897378,1.01440578051,-63998.3614952,-176.873816702,228837.625059,0,0,1,MISS
180,1.03181271483,1.00710725688,0.841363048428,128767.96285,373.212215273,192266.584739,0,1,0,MISS
181,0.984269554622,1.01698255659,1.20608084076,-109112.909104,-299.977848161,248034.86369,0,0,1,MISS
182,1.00428292699,0.986499800614,1.06729210871,50544.6361991,159.473303659,198664.510721,0,0,0,MISS
183,0.994006858399,0.980154923168,1.15330753892,18149.7230102,70.7667734073,202494.827815,0,0,0,MISS
184,1.00349423994,1.00479770563,0.952982694158,5010.69352044,10.0240193521,217671.507779,1,1,1,PASS
185,1.01610160114,1.01505849819,0.934892019892,37537.1460634,96.7922720429,215384.76331,0,1,0,MISS
186,1.010296049,0.99187378933,0.904543146087,66710.0268253,198.940502709,198126.844099,0,1,0,MISS
187,0.980451474095,0.990654295878,0.861446902494,-63040.6037081,-176.128194016,226525.839388,0,1,1,MISS
188,0.975360635615,0.995281596286,0.897713672097,-95821.6958063,-266.517335747,236082.753163,0,1,1,MISS
189,0.971347547879,0.986053903162,1.11702391318,-95889.9645348,-255.815978416,231065.332936,0,0,1,MISS
190,1.01570007273,0.996063342954,0.989900830699,80266.2962365,238.827432998,197004.384772,0,0,0,MISS
191,1.00590785751,1.00869115283,1.02914728603,5844.05937967,12.2845272817,219109.53549,0,0,1,PATH
192,0.977938126177,1.00555265982,0.909159741895,-107168.554711,-300.459322319,243407.270078,0,1,1,MISS
193,0.997265067041,0.994784493439,0.88196708786,1325.35664897,3.66553043326,213942.789112,1,1,1,PASS
194,0.981936882591,1.00067595209,1.00950500152,-80808.7372261,-224.953481369,234814.878916,0,0,1,MISS
195,0.979863389691,0.998784143799,1.05185783308,-86213.2706561,-237.404883521,235028.754964,0,0,0,MISS
196,0.994383310742,0.999187884218,0.713174975288,-19450.9942337,-63.2922694626,221125.359363,0,1,0,MISS
197,1.01111528741,1.01258816922,0.742324672459,23378.9745124,51.8531065443,217826.272481,0,1,1,MISS
198,1.02262011894,0.995287840064,0.967537511949,114350.572105,343.029189262,189384.203566,0,0,0,MISS
199,1.03771947156,1.01243453765,1.16286370208,139441.120154,410.572526589,191830.595595,0,0,0,MISS
200,0.998573854035,1.00293111235,1.11757711537,-14498.2835652,-39.523099317,220668.842876,0,0,1,MISS
