run,final_altitude_km,final_velocity_m_s,fuel_margin_kg,orbit_ok,fuel_ok,strict_success,status
291,280.7971656185659,7276.292463314816,252673.30424396775,0,1,0,MISS
292,536.2294938165136,8019.921727762848,182385.03944267053,0,1,0,MISS
293,613.726459371156,8254.725586973898,172020.78881683428,0,1,0,MISS
294,461.5094639623994,7778.462560190458,203131.1413481083,0,1,0,MISS
295,479.9371357508572,7836.536817835762,203034.3155914055,0,1,0,MISS
296,414.9521491503315,7646.519901189599,214059.28243220324,1,1,1,PASS
297,374.0835131113762,7527.750136236554,229040.86311015201,0,1,0,MISS
298,473.1334575206777,7807.873649050701,207568.18256297446,0,1,0,MISS
299,356.8427319361083,7478.530278856483,227581.39320506825,0,1,0,MISS
300,247.77620801277644,7195.083502445945,255203.5955230386,0,1,0,MISS
301,318.1126774471896,7380.14190867816,234135.61212721892,0,1,0,MISS
302,444.3013076645294,7724.281846513499,211509.1252060384,0,1,0,MISS
303,411.8145931927348,7640.148414832988,213329.64488467708,1,1,1,PASS
304,538.3901567601664,8010.375409051653,189168.75385557092,0,1,0,MISS
305,578.8818467108729,8144.3123959252525,177759.6804668528,0,1,0,MISS
306,368.70969739514777,7512.298452957678,229067.94612260693,0,1,0,MISS
307,275.77716961691806,7264.896434227022,249396.57711474737,0,1,0,MISS
308,418.37269526676926,7656.992793441617,214367.29898031353,1,1,1,PASS
309,384.60720827475467,7553.585254321171,225852.15069352585,0,1,0,MISS
310,392.8835488216514,7578.23240922615,224797.63124680996,0,1,0,MISS
311,351.379750398634,7460.006239136587,234092.28131887986,0,1,0,MISS
312,339.936797868995,7442.629014171354,225233.29090671235,0,1,0,MISS
313,331.2959101532847,7408.734993842345,232082.6107672103,0,1,0,MISS
314,596.0327049231138,8194.65293661367,177126.20302742877,0,1,0,MISS
315,613.7321994262552,8254.713004005194,172503.29552109074,0,1,0,MISS
316,405.33445682780723,7606.156308600877,226272.8949540393,0,1,0,MISS
317,305.52286068604144,7339.908894245159,241620.17803301098,0,1,0,MISS
318,369.2793283390217,7509.236088615304,231924.52329069492,0,1,0,MISS
319,420.7130716163898,7654.173666782193,217326.24162598536,1,1,1,PASS
320,427.3907229328342,7670.592384946516,220628.32980294095,1,1,1,PASS
321,662.5630330000231,8430.989066814682,157353.32578013523,0,1,0,MISS
322,434.89779837992785,7705.100200131024,210063.64537560818,0,1,0,MISS
323,523.1387945061624,7948.628143593611,198495.2329550999,0,1,0,MISS
324,461.670700339105,7779.767580939159,207242.0836337887,0,1,0,MISS
325,404.6410493226135,7611.727354525084,222405.7195704541,0,1,0,MISS
326,366.2328426197637,7507.768963610929,231292.12581934693,0,1,0,MISS
327,247.44039214091748,7191.799395119598,253691.15601347625,0,1,0,MISS
328,435.6818894838178,7716.03080778332,203774.21621372225,0,1,0,MISS
329,368.0219809506377,7517.241983783572,222813.5753324094,0,1,0,MISS
330,357.66663293799667,7481.158457579724,230883.22969284066,0,1,0,MISS
331,563.7482751418166,8093.481683376641,183360.8839872866,0,1,0,MISS
332,343.74962054885737,7448.4863522353935,233745.5106021759,0,1,0,MISS
333,457.8475778839756,7770.736509630329,204303.7811504146,0,1,0,MISS
334,378.9826693890579,7537.789742759349,227169.28550849512,0,1,0,MISS
335,406.1441801692685,7600.614600247621,229750.8038304532,0,1,0,MISS
336,387.2556294516446,7560.727087819424,222126.00431368971,0,1,0,MISS
337,396.6600496440511,7588.9077489539995,223627.4818236304,0,1,0,MISS
338,431.61008125200493,7699.116020637201,211585.14452568715,0,1,0,MISS
339,556.2521400704748,8056.899854594448,190973.60135931347,0,1,0,MISS
340,373.6256686164299,7519.240294458866,231798.8671010877,0,1,0,MISS
341,401.33175688850787,7604.356393494841,217038.50907120464,0,1,0,MISS
342,436.7323130006585,7701.578613289329,213863.47463363706,0,1,0,MISS
343,445.2770819397988,7729.875245995699,212456.01916583267,0,1,0,MISS
344,467.95895980107224,7786.321810667842,214699.3745110947,0,1,0,MISS
345,252.34090075241215,7202.5233079412765,259135.24155478593,0,1,0,MISS
346,476.2730385880079,7812.448929445668,210297.4612110408,0,1,0,MISS
347,434.273580509901,7690.466340185994,219577.70113441272,0,1,0,MISS
348,552.7069626804432,8058.2954413925445,185516.8054655486,0,1,0,MISS
349,312.56258110968395,7349.92397575065,248395.5136319521,0,1,0,MISS
350,324.54909465757197,7395.520698929913,237481.0443938719,0,1,0,MISS
