time_s,specific_energy_J_per_kg,angular_momentum_m2_s,rel_energy_drift,rel_h_drift
3492.7967944112766,-29316889.31280249,52055165818.599014,1.167356912506807e-10,5.836794329066088e-11
3524.409082606121,-29316889.31277067,52055165818.627266,1.178211212015265e-10,5.891066844591865e-11
3555.444688779288,-29316889.312742133,52055165818.652596,1.1879447561776145e-10,5.939725972743519e-11
3585.860932727808,-29316889.3127168,52055165818.675095,1.1965855003426245e-10,5.982947589887865e-11
3615.609626850108,-29316889.312694594,52055165818.69482,1.2041601291613927e-10,6.020834290572211e-11
3644.633522621542,-29316889.3126754,52055165818.71185,1.210706763564059e-10,6.05356195116337e-11
3672.8614115164933,-29316889.312659137,52055165818.72629,1.2162546295970637e-10,6.081291791664253e-11
3700.2007793021317,-29316889.312645674,52055165818.73824,1.2208469309812324e-10,6.104258313897277e-11
3726.5258372207113,-29316889.312634926,52055165818.74778,1.224512893763005e-10,6.122578768773653e-11
3751.6561234852898,-29316889.312626768,52055165818.75502,1.2272957216632067e-10,6.136487658115798e-11
3775.3132207347503,-29316889.312621076,52055165818.76008,1.2292373477049912e-10,6.146204827382228e-11
3793.9826953472816,-29316889.31261969,52055165818.76131,1.229710047238724e-10,6.148564501970305e-11
3812.652022322008,-29316889.312618297,52055165818.762535,1.2301852881677996e-10,6.150924176558382e-11
3830.600993070814,-29316889.31261719,52055165818.76352,1.2305626853761831e-10,6.152814847501624e-11
3851.281817554993,-29316889.31261464,52055165818.76578,1.2314331132810406e-10,6.15715313121635e-11
3873.782708440382,-29316889.312610414,52055165818.76954,1.2328740844403233e-10,6.164378718619593e-11
3897.4177715244855,-29316889.31260477,52055165818.77456,1.2347991914123807e-10,6.174022606066517e-11
3921.493094840053,-29316889.31259844,52055165818.78018,1.2369581067559617e-10,6.184824346261628e-11
3945.2466410220727,-29316889.312592603,52055165818.78536,1.238949290006928e-10,6.194776017350476e-11
3964.758626516869,-29316889.31259079,52055165818.786964,1.2395681197728634e-10,6.197853853769707e-11
3984.2670200702146,-29316889.312588975,52055165818.78857,1.2401869495387985e-10,6.200931690188938e-11
4000.824849056292,-29316889.3125883,52055165818.78917,1.2404169458173085e-10,6.202089542937125e-11
4017.3793659467838,-29316889.31258763,52055165818.78977,1.2406456713981468e-10,6.203247395685312e-11
4036.24248411294,-29316889.312586155,52055165818.79108,1.2411488676759917e-10,6.205753633912401e-11
4057.5230707930054,-29316889.312583122,52055165818.79377,1.24218321558045e-10,6.210927330369488e-11
4080.577578109076,-29316889.312578235,52055165818.7981,1.2438503709252286e-10,6.219252145065314e-11
4105.044163003817,-29316889.31257128,52055165818.80428,1.2462227634775922e-10,6.231123799825206e-11
4130.692361297917,-29316889.312562067,52055165818.81246,1.249365198818779e-10,6.246835421927185e-11
4157.36387521029,-29316889.312550448,52055165818.82278,1.2533285048556414e-10,6.266650825921474e-11
4184.944274479468,-29316889.312536273,52055165818.83537,1.2581635094950332e-10,6.290848482722192e-11
4213.347605163861,-29316889.31251939,52055165818.85036,1.263922311341478e-10,6.319633581423954e-11
4242.507213359774,-29316889.312499657,52055165818.86787,1.2706531969064864e-10,6.353269936576979e-11
4272.369860588242,-29316889.312476955,52055165818.88802,1.278396828515541e-10,6.391992050003689e-11
4302.891693352543,-29316889.312451094,52055165818.91098,1.2872180117498788e-10,6.4360930489821e-11
4334.035286742031,-29316889.312421966,52055165818.93685,1.297153596841969e-10,6.485792778970734e-11
4365.767305168856,-29316889.31238943,52055165818.96573,1.3082518703033214e-10,6.5412671163364e-11
4398.056494056846,-29316889.312353365,52055165818.99776,1.3205534944594184e-10,6.602794531993221e-11
4430.871816783257,-29316889.312313687,52055165819.03298,1.3340876953567008e-10,6.670462964124604e-11
4464.180619342246,-29316889.312270347,52055165819.07146,1.3488709920648956e-10,6.744375007277855e-11
4497.946768461012,-29316889.31222338,52055165819.11316,1.364891948304961e-10,6.824486692361271e-11
4532.128779277963,-29316889.3121729,52055165819.157974,1.3821099017514145e-10,6.910578173916338e-11
4566.678038591252,-29316889.312119115,52055165819.20571,1.4004562347300047e-10,7.002283042845526e-11
4601.537334614292,-29316889.31206244,52055165819.25604,1.4197886291015429e-10,7.098971075501088e-11
4636.639997829012,-29316889.3120034,52055165819.30846,1.4399266457967013e-10,7.19966029550165e-11
4671.909993795898,-29316889.311942667,52055165819.36237,1.4606428299323124e-10,7.30323681919073e-11
4707.263219965692,-29316889.31188108,52055165819.417046,1.481650003834657e-10,7.408264322906018e-11
4742.610017047651,-29316889.311819576,52055165819.471664,1.5026292223882325e-10,7.513189232073999e-11
4777.858560740523,-29316889.311759055,52055165819.525375,1.523272976756578e-10,7.616370033937749e-11
4812.918489182184,-29316889.311700426,52055165819.57742,1.5432712167078907e-10,7.716355748471058e-11
4847.7040113252015,-29316889.311644457,52055165819.62712,1.5623621785218773e-10,7.811827302922829e-11
4882.135886217105,-29316889.31159176,52055165819.673904,1.5803374677804407e-10,7.901700126364378e-11
4916.141973500616,-29316889.31154278,52055165819.717384,1.5970446007630216e-10,7.985226744236753e-11
4949.6563493920385,-29316889.31149784,52055165819.75729,1.6123730267722146e-10,8.06189418380341e-11
4982.617128062275,-29316889.311457098,52055165819.79346,1.626270647203496e-10,8.131365348694628e-11
5014.963041012991,-29316889.311420646,52055165819.82581,1.638704423917411e-10,8.193522987999197e-11
