n,p_orbit_fail,p_fuel_fail,p_q_violate,p_g_violate,p_any_failure
114,0.9385964912280702,0.0,0.543859649122807,0.5,0.9736842105263158
115,0.9391304347826087,0.0,0.5478260869565217,0.4956521739130435,0.9739130434782609
116,0.9310344827586207,0.0,0.5431034482758621,0.5,0.9741379310344828
117,0.9316239316239316,0.0,0.5384615384615384,0.5042735042735043,0.9743589743589743
118,0.9322033898305084,0.0,0.5423728813559322,0.5084745762711864,0.9745762711864406
119,0.9327731092436975,0.0,0.5378151260504201,0.5042016806722689,0.9747899159663865
120,0.925,0.0,0.5416666666666666,0.5083333333333333,0.975
121,0.9256198347107438,0.0,0.5454545454545454,0.512396694214876,0.9752066115702479
122,0.9262295081967213,0.0,0.5491803278688525,0.5081967213114754,0.9754098360655737
123,0.926829268292683,0.0,0.5528455284552846,0.5040650406504065,0.975609756097561
124,0.9274193548387096,0.0,0.5564516129032258,0.5080645161290323,0.9758064516129032
125,0.928,0.0,0.552,0.504,0.976
126,0.9285714285714286,0.0,0.5476190476190477,0.5,0.9761904761904762
127,0.9291338582677166,0.0,0.5433070866141733,0.49606299212598426,0.9763779527559056
128,0.9296875,0.0,0.5390625,0.5,0.9765625
129,0.9302325581395349,0.0,0.5426356589147286,0.5038759689922481,0.9767441860465116
130,0.9307692307692308,0.0,0.5384615384615384,0.5,0.9769230769230769
131,0.9312977099236641,0.0,0.5419847328244275,0.5038167938931297,0.9770992366412213
132,0.9318181818181818,0.0,0.5454545454545454,0.5075757575757576,0.9772727272727273
133,0.9323308270676691,0.0,0.5488721804511278,0.5112781954887218,0.9774436090225563
134,0.9328358208955224,0.0,0.5447761194029851,0.5074626865671642,0.9776119402985075
135,0.9333333333333333,0.0,0.5407407407407407,0.5111111111111111,0.9777777777777777
136,0.9338235294117647,0.0,0.5441176470588235,0.5147058823529411,0.9779411764705882
137,0.9343065693430657,0.0,0.5474452554744526,0.5182481751824818,0.9781021897810219
138,0.9347826086956522,0.0,0.5434782608695652,0.5144927536231884,0.9782608695652174
139,0.935251798561151,0.0,0.539568345323741,0.5107913669064749,0.9784172661870504
140,0.9357142857142857,0.0,0.5428571428571428,0.5071428571428571,0.9785714285714285
141,0.9361702127659575,0.0,0.5460992907801419,0.5106382978723404,0.9787234042553191
142,0.9366197183098591,0.0,0.5422535211267606,0.5070422535211268,0.9788732394366197
143,0.9370629370629371,0.0,0.5384615384615384,0.5034965034965035,0.9790209790209791
144,0.9375,0.0,0.5416666666666666,0.5069444444444444,0.9791666666666666
145,0.9379310344827586,0.0,0.5448275862068965,0.5103448275862069,0.9793103448275862
146,0.9383561643835616,0.0,0.547945205479452,0.5068493150684932,0.9794520547945206
