run,thrust_multiplier,isp_multiplier,density_multiplier,terminal_valid,orbit_ok,fuel_ok,fuel_margin_kg,trajectory_valid,max_q_pa,max_g,orbit_fail,fuel_fail,q_violation,g_violation,any_failure
338,0.9891161147256582,0.9958218950048241,0.9753113434780606,1,0,1,223019.14820083266,1,34302.86535663009,3.915404738782284,1,0,0,0,1
339,1.0436050955879725,1.0133797916638774,0.9284254166037796,1,0,1,187058.23756080033,1,35824.39090268365,4.458459506939007,1,0,1,1,1
340,0.9939973653200581,0.9932744780756575,1.1921244203592678,1,0,1,215679.54877964873,1,41446.772569783025,3.9804305898124346,1,0,1,0,1
341,0.9960740408145013,0.9986554311558338,1.026440363846253,1,0,1,218938.0087770177,1,35982.30032925787,3.9675707013151285,1,0,1,0,1
342,1.0116761738862894,0.9981149975508001,0.9157621940335606,1,0,1,203031.41092702514,1,33369.86208685648,4.16586045974853,1,0,0,1,1
343,1.0189800655655719,1.002409000358377,1.1953015046838056,1,0,1,200135.32582530827,1,43818.57577510005,4.223577911602102,1,0,1,1,1
344,1.0045993908260944,1.0066905498366343,1.0899836843463813,1,1,1,218438.82036437473,1,38321.526860412494,4.004627944077102,0,0,1,1,1
345,1.0257717553917625,0.996149366164503,0.9365680831878017,1,0,1,187146.13982436346,1,35643.84242403036,4.381348295994226,1,0,1,1,1
346,1.0082945054648715,0.9828501690518725,1.1241442186832777,1,0,1,190931.84256114566,1,41733.237373231095,4.268728292398484,1,0,1,1,1
347,1.0001594467406543,1.0127516297936394,1.1062402526877477,1,0,1,228625.238363755,1,39435.68238030989,3.9254823554278904,1,0,1,0,1
348,0.9969201470469647,0.9987193626247097,0.9329228862880083,1,0,1,218167.45163294557,1,32721.395253638526,3.9760365616867226,1,0,0,0,1
349,0.9550152324421252,0.9907383291748095,0.8916880304345014,1,0,1,251861.45064956712,1,32608.191963664518,3.6193046240332434,1,0,0,0,1
350,1.0015193040801287,0.9854487441431924,1.0932761193175287,1,0,1,200355.0248678358,1,39613.305600461055,4.149086838914318,1,0,1,1,1
351,1.0309175308597258,0.9926377977719626,1.0238971052049612,1,0,1,178464.10277966422,1,39717.52616546722,4.494865763393168,1,0,1,1,1
352,1.0358220366106727,0.994593988104886,1.1130046077977886,1,0,1,175623.044594844,1,43486.36427531806,4.547183830679935,1,0,1,1,1
353,1.0061963382520722,1.0001995405964856,1.069174127676461,1,0,1,210498.23771950882,1,38039.751773560805,4.075088781184828,1,0,1,1,1
354,0.9542369874720449,1.0049655553411136,1.02943637146293,1,0,1,266045.821769459,1,38844.427539228665,3.539415445293252,1,0,1,0,1
355,0.9848719614396233,1.0017841205080888,1.0479572857297896,1,0,1,233000.79922033957,1,37375.279164381966,3.8396502029612467,1,0,1,0,1
356,0.9762611175963529,1.0116477209547867,0.7967388641367831,1,0,1,250801.26851487177,1,29395.039005921968,3.7079458330816624,1,0,0,0,1
357,0.996659566982093,1.000350872186602,0.941075468053092,1,0,1,220025.07759227016,1,33092.857144641246,3.9637162583836694,1,0,0,0,1
358,0.9938885201619908,0.9816119696611763,1.0033717249053136,1,0,1,204094.00297463132,1,35918.49733707068,4.082714821543778,1,0,1,1,1
359,1.0087466926848063,1.0061389159408871,0.8542273551555586,1,0,1,213846.18875127885,1,30357.67158952508,4.05579976445239,1,0,0,1,1
360,1.0274582867935764,0.9820142980768239,0.9350754778616511,1,0,1,170877.9556375679,1,36767.3541683771,4.5626605444110195,1,0,1,1,1
361,1.0018669061192247,1.0157819220801398,0.8148275859335514,1,0,1,229869.7444193713,1,29242.203912151825,3.9263009151326633,1,0,0,0,1
362,1.031911754816771,1.0086476302082166,1.1300519615042415,1,0,1,193709.02096278325,1,42461.56029312066,4.340735460844853,1,0,1,1,1
363,1.0103576094133242,1.008407755087133,0.9702232964167931,1,0,1,214493.65445466648,1,34387.84707228544,4.056570378948537,1,0,0,1,1
364,0.9968533590933052,0.9857092059850596,1.0954851998618844,1,0,1,205275.1684201606,1,39129.14339438863,4.0839942855213,1,0,1,1,1
365,1.005022304996214,0.9760432858616465,0.9861923023813569,1,0,1,187192.03033348825,1,36904.95076656837,4.292214745227828,1,0,1,1,1
366,0.9939967822152312,0.9868696799370166,1.036930233259136,1,1,1,209291.97466809698,1,36672.31851665778,4.036266993751833,0,0,1,1,1
367,0.969785508411935,1.0063974094722297,1.02039685715874,1,0,1,252178.29429599707,1,37542.38301239419,3.6734739856809733,1,0,1,0,1
368,1.024276840329464,1.0163627582900094,1.075916559523415,1,0,1,208736.6664518261,1,38960.49375777942,4.16438757807206,1,0,1,1,1
369,0.9949613937196559,0.9968762206700527,1.1248440298458249,1,0,1,218284.8955550926,1,39317.49981652545,3.966627164271057,1,0,1,0,1
370,1.0140838546618494,1.0074313421520982,1.036392623068191,1,0,1,209900.26455103466,1,37171.910361330294,4.112416211154165,1,0,1,1,1
