run,final_altitude_km,final_velocity_m_s,success
163,418.3359805483185,7647.249103743287,1
164,274.27146867653636,7263.607085910628,0
165,517.0114760770388,7961.357387211001,0
166,426.6078594323825,7676.330102828868,1
167,572.8521214377805,8120.206402031567,0
168,557.0946459052731,8068.525840573444,0
169,477.25808081418927,7827.506220760035,0
170,461.09605747120736,7774.81291170641,0
171,457.7680400288887,7780.231986643579,0
172,391.13995472906714,7570.064557155731,0
173,430.2835716983182,7687.607883163633,0
174,237.17298989574704,7164.190583172944,0
175,469.5819550150447,7812.892141706795,0
176,464.08642331931,7793.534836309911,0
177,449.20990865956804,7749.705905113477,0
178,419.05304599512647,7659.526520314077,1
179,416.94778019656053,7653.402742386038,1
180,564.1190201286217,8086.467108382646,0
181,392.20061771075615,7577.752288279651,0
182,539.9700388169065,8011.224755401275,0
183,238.8943001125399,7176.1875974493,0
184,411.4608557902453,7636.539651696444,0
185,405.60413140673654,7615.471286786896,0
186,551.5176055075797,8048.033112023275,0
187,365.5003089906834,7504.153011815516,0
188,617.0885528429495,8264.366605205207,0
189,578.37572598828,8156.81254171684,0
190,315.4859191938983,7369.257551749967,0
191,472.67201488171054,7823.197615967579,0
192,433.27341694326697,7699.627338345412,0
193,510.9287849110011,7933.964302878291,0
194,460.72195037723054,7772.442804460358,0
195,416.0948268556725,7644.500229711085,1
196,517.4223143880032,7944.421577476204,0
197,348.5122712591803,7460.6442095904895,0
198,508.986455854306,7909.109269511869,0
199,513.9170648736376,7951.924137686701,0
200,379.30832407443785,7556.287737635239,0
201,272.14654201645124,7255.935657065407,0
202,419.4321896860488,7660.876859322947,1
203,499.9717397719594,7903.654610397369,0
204,456.5454991332153,7753.987515130198,0
205,494.77813806958216,7862.8665885354385,0
206,300.15942654887493,7328.454556847922,0
207,668.839972846916,8455.343092729741,0
208,434.0172555065211,7699.0824825680265,0
209,425.04625820755587,7683.038340040381,0
210,397.5329972331105,7590.8989893937705,0
211,483.41969703658765,7860.042225355069,0
212,546.0685882359361,8035.016885819577,0
213,544.3618830460133,8027.191871094804,0
214,385.4873573651714,7554.5224982980535,0
215,407.08975247000626,7614.878740284063,0
216,335.5810159787815,7422.825337458393,0
217,451.0209376657102,7734.4711778671635,0
218,546.5719598254515,8049.129493714546,0
219,662.4637441365635,8416.406792174868,0
220,324.5888205477158,7397.569065095,0
221,429.20241207604204,7668.903913285275,1
222,487.1700756178349,7848.491578277486,0
223,380.5255252150027,7544.131981641079,0
224,351.14337096813694,7460.68910156845,0
225,405.7683384208577,7611.619637116406,0
226,553.0117135903183,8051.817371056059,0
227,517.9476440137,7956.80150250896,0
228,506.79958412378096,7914.700483617524,0
229,541.911952590255,8028.13767682035,0
230,563.6165047363882,8087.527346067924,0
231,396.8028779681521,7595.787968927384,0
232,392.8035933879567,7577.354818643206,0
233,344.9487783230236,7450.291358373397,0
234,403.15343948865126,7609.983336632828,0
235,256.7049478622796,7212.827019206719,0
236,389.24338023932467,7578.905741017552,0
237,421.7130846066074,7659.796082627732,1
238,439.17440206769015,7700.745795920218,0
239,462.8735718321493,7785.367208282915,0
240,381.6358437578026,7548.812483193848,0
241,604.660915552714,8228.848714978518,0
242,487.4374595285356,7843.298398935121,0
243,388.0022722612107,7577.473958327799,0
244,378.69208290607946,7537.120533983387,0
245,431.10795977568625,7697.9494519701,0
246,328.0995920682559,7402.224500747239,0
247,532.7538538277336,7993.929279974591,0
248,388.4502580745891,7575.606909849495,0
249,445.40508773166596,7720.230814370602,0
250,525.8151892939052,7966.89614299263,0
251,581.8173689290722,8146.773574776813,0
252,427.1991769177029,7681.637916435992,0
253,335.77137682582065,7417.298849278928,0
254,294.3049549417831,7318.234292510333,0
255,418.23440450145677,7657.927499403414,1
256,416.825785540293,7644.1505865162235,1
257,482.87153418293127,7852.1152425727,0
258,269.39970651024396,7250.231021128389,0
259,473.85534751087056,7817.32683614883,0
260,273.50257157005274,7256.274859692317,0
261,394.8930081516746,7582.5080273091135,0
262,548.2601930434444,8041.113978028352,0
263,353.6722534751398,7478.001193281962,0
264,330.03863286498284,7416.011849553836,0
