trial,label,status,solver_success,mission_success,progress,time_s,downrange_km,ellipsoidal_altitude_km,velocity_m_s,mass_kg,x_m,y_m,z_m
3,time_plus,MISSION_OK,1,1,0.33,197.524862141,234.948569735,133.438987202,3537.96500027,1124995.0816,-407868.60903,-5847288.8426,2826787.80529
3,time_plus,MISSION_OK,1,1,0.333333333333,199.520062769,240.637655501,135.843533994,3557.26014919,1117126.27805,-401396.145293,-5850059.43502,2827520.21036
3,time_plus,MISSION_OK,1,1,0.336666666667,201.515263397,246.367315531,138.244175861,3576.78949582,1109257.50399,-394876.766408,-5852824.52735,2828245.37736
3,time_plus,MISSION_OK,1,1,0.34,203.510464024,252.133492327,140.641453065,3596.5406555,1101388.78033,-388315.187693,-5855584.75101,2828964.06945
3,time_plus,MISSION_OK,1,1,0.343333333333,205.505664652,257.942526882,143.035004948,3616.55016186,1093520.11581,-381704.109237,-5858339.39142,2829675.22563
3,time_plus,MISSION_OK,1,1,0.346666666667,207.50086528,263.788749339,145.425494446,3636.7761479,1085651.4851,-375050.104307,-5861089.28012,2830379.8877
3,time_plus,MISSION_OK,1,1,0.35,209.496065907,269.677343465,147.812664159,3657.26354312,1077782.93205,-368347.214218,-5863833.84507,2831077.19394
3,time_plus,MISSION_OK,1,1,0.353333333333,211.491266535,275.609201939,150.19668878,3678.00603335,1069914.43209,-361594.437858,-5866573.11453,2831767.05716
3,time_plus,MISSION_OK,1,1,0.356666666667,213.486467163,281.577543756,152.578195833,3698.96428679,1062045.97786,-354799.614908,-5869307.98597,2832450.67631
3,time_plus,MISSION_OK,1,1,0.36,215.481667791,287.591864426,154.956744704,3720.20784688,1054177.62713,-347951.827591,-5872037.43346,2833126.48341
3,time_plus,MISSION_OK,1,1,0.363333333333,217.476868418,293.646765877,157.332878061,3741.68847982,1046309.32542,-341057.318246,-5874762.19887,2833795.4461
3,time_plus,MISSION_OK,1,1,0.366666666667,219.472069046,299.744012518,159.706639473,3763.42523296,1038441.10378,-334114.077886,-5877482.14895,2834457.30035
3,time_plus,MISSION_OK,1,1,0.37,221.467269674,305.886392026,162.078115342,3785.43775796,1030572.98631,-327118.922723,-5880197.10371,2835111.64405
3,time_plus,MISSION_OK,1,1,0.373333333333,223.462470301,312.070499133,164.44764126,3807.69524568,1022704.92773,-320075.792018,-5882907.51813,2835759.08107
3,time_plus,MISSION_OK,1,1,0.376666666667,225.457670929,318.298448894,166.8152836,3830.22588753,1014837.00086,-312982.274686,-5885613.24316,2836399.29999
3,time_plus,MISSION_OK,1,1,0.38,227.452871557,324.572222424,169.181188586,3853.03128801,1006969.17506,-305836.116471,-5888314.19255,2837032.03479
3,time_plus,MISSION_OK,1,1,0.383333333333,229.448072184,330.888464657,171.545626937,3876.08879788,999101.427245,-298641.19179,-5891010.77752,2837657.86249
3,time_plus,MISSION_OK,1,1,0.386666666667,231.443272812,337.251608553,173.90865177,3899.44352723,991233.879936,-291392.430886,-5893702.64883,2838276.11281
3,time_plus,MISSION_OK,1,1,0.39,233.43847344,343.661671228,176.270473681,3923.07561895,983366.429169,-284089.835862,-5896389.90956,2838886.83278
3,time_plus,MISSION_OK,1,1,0.393333333333,235.433674067,350.11558785,178.631320052,3946.97688713,975499.129188,-276736.941996,-5899072.92355,2839490.54374
3,time_plus,MISSION_OK,1,1,0.396666666667,237.428874695,356.616284297,180.991331703,3971.17033807,967632.051887,-269330.411181,-5901751.51387,2840086.82867
3,time_plus,MISSION_OK,1,1,0.4,239.424075323,363.164038765,183.35067754,3995.64458713,959765.100751,-261869.943269,-5904425.73097,2840675.67951
3,time_plus,MISSION_OK,1,1,0.403333333333,241.419275951,369.760037902,185.709512013,4020.42247293,951898.428174,-254354.197337,-5907095.53523,2841256.94182
3,time_plus,MISSION_OK,1,1,0.406666666667,243.414476578,376.40391327,188.068070808,4045.49459803,944032.003073,-246783.612347,-5909761.08135,2841830.73101
3,time_plus,MISSION_OK,1,1,0.41,245.409677206,383.095723113,190.426489837,4070.85570951,936165.749007,-239158.139129,-5912422.40801,2842397.05797
3,time_plus,MISSION_OK,1,1,0.413333333333,247.404877834,389.843049659,192.785006955,4096.57197134,928300.017219,-231469.115774,-5915078.9711,2842954.80042
3,time_plus,MISSION_OK,1,1,0.416666666667,249.400078461,396.628303891,195.143713799,4122.52139293,920434.557514,-223736.687569,-5917732.33078,2843506.70185
3,time_plus,MISSION_OK,1,1,0.42,251.395279089,403.468324157,197.502852973,4148.80924645,912569.500112,-215941.600109,-5920381.12274,2844050.19569
3,time_plus,MISSION_OK,1,1,0.423333333333,253.390479717,410.36050253,199.862653593,4175.42883553,904705.168631,-208086.853554,-5923025.68316,2844585.73808
3,time_plus,MISSION_OK,1,1,0.426666666667,255.385680344,417.302648866,202.223247169,4202.35438348,896841.278107,-200174.967743,-5925666.24429,2845113.68773
3,time_plus,MISSION_OK,1,1,0.43,257.380880972,424.297904889,204.584855444,4229.6183667,888978.377681,-192202.3644,-5928302.61518,2845633.59484
3,time_plus,MISSION_OK,1,1,0.433333333333,259.3760816,431.341748009,206.947598442,4257.18832105,881116.64718,-184174.225306,-5930935.24802,2846146.18887
3,time_plus,MISSION_OK,1,1,0.436666666667,261.371282227,438.439578388,209.311734478,4285.09093148,873255.713039,-176084.390544,-5933563.7578,2846650.67002
3,time_plus,MISSION_OK,1,1,0.44,263.366482855,445.597030217,211.677645189,4313.37424961,865397.858828,-167926.435403,-5936187.80223,2847146.23179
3,time_plus,MISSION_OK,1,1,0.443333333333,265.361683483,452.796929286,214.044986308,4341.91723512,857542.727207,-159719.989855,-5938808.73633,2847635.47518
3,time_plus,MISSION_OK,1,1,0.446666666667,267.35688411,460.056338572,216.414417487,4370.82550708,849691.205586,-151445.569836,-5941425.2978,2848115.85245
3,time_plus,MISSION_OK,1,1,0.45,269.352084738,467.372804806,218.786093733,4400.0424295,841855.678996,-143105.981485,-5944037.74848,2848587.76565
3,time_plus,MISSION_OK,1,1,0.453333333333,271.347285366,474.740567007,221.159175642,4425.99576282,834832.905856,-134707.588185,-5946645.54065,2849051.58463
3,time_plus,MISSION_OK,1,1,0.456666666667,273.342485994,482.145336686,223.526968263,4440.87705829,830369.084964,-126264.888409,-5949241.5745,2849505.3583
3,time_plus,MISSION_OK,1,1,0.46,275.337686621,489.58013421,225.882832888,4452.23269526,826731.002653,-117783.99938,-5951817.87318,2849945.87984
3,time_plus,MISSION_OK,1,1,0.463333333333,277.332887249,497.032038615,228.227156318,4461.65366673,823546.830198,-109279.991614,-5954376.59625,2850375.68557
3,time_plus,MISSION_OK,1,1,0.466666666667,279.328087877,504.505697768,230.55589968,4471.11239976,820379.882281,-100746.379478,-5956911.69231,2850791.23175
3,time_plus,MISSION_OK,1,1,0.47,281.323288504,511.998810195,232.870775654,4480.65472888,817215.738638,-92186.37174,-5959425.6701,2851194.03768
3,time_plus,MISSION_OK,1,1,0.473333333333,283.318489132,519.510318475,235.172610326,4490.27443181,814054.939754,-83601.4774213,-5961919.72332,2851584.82393
3,time_plus,MISSION_OK,1,1,0.476666666667,285.31368976,527.042886035,237.45964534,4499.99102808,810896.807521,-74988.185852,-5964391.06196,2851961.90358
3,time_plus,MISSION_OK,1,1,0.48,287.308890387,534.596181643,239.732240786,4509.80349225,807739.599709,-66347.046736,-5966840.14001,2852325.54722
3,time_plus,MISSION_OK,1,1,0.483333333333,289.304091015,542.168344176,241.991796032,4519.70598641,804583.753736,-57680.6442873,-5969269.03731,2852677.00716
3,time_plus,MISSION_OK,1,1,0.486666666667,291.299291643,549.761917676,244.23669776,4529.71096422,801428.744176,-48985.6672218,-5971675.14535,2853014.70274
3,time_plus,MISSION_OK,1,1,0.49,293.29449227,557.375099396,246.468289327,4539.80762957,798274.210563,-40264.6128228,-5974060.47087,2853339.84268
3,time_plus,MISSION_OK,1,1,0.493333333333,295.289692898,565.009497078,248.685603335,4550.00884902,795120.49468,-31515.436585,-5976423.40853,2853651.45272
3,time_plus,MISSION_OK,1,1,0.496666666667,297.284893526,572.66517883,250.888741744,4560.31022237,791967.101391,-22738.1467699,-5978764.00229,2853949.55338
3,time_plus,MISSION_OK,1,1,0.5,299.280094154,580.340822306,253.078683959,4570.70596824,788814.051522,-13934.5788185,-5981083.72064,2854235.02985
3,time_plus,MISSION_OK,1,1,0.503333333333,301.275294781,588.040274597,255.253054297,4581.21745532,785661.46226,-5099.77870334,-5983378.67108,2854505.52125
3,time_plus,MISSION_OK,1,1,0.506666666667,303.270495409,595.757238832,257.416062021,4591.81089215,782509.052131,3757.92043337,-5985655.47651,2854765.03158
3,time_plus,MISSION_OK,1,1,0.51,305.265696037,603.497437811,259.564109717,4602.51489169,779356.93421,12645.9086675,-5987908.29902,2855010.02412
3,time_plus,MISSION_OK,1,1,0.513333333333,307.260896664,611.261908857,261.696709284,4613.33356173,776205.053254,21565.4156496,-5990136.20727,2855239.92796
3,time_plus,MISSION_OK,1,1,0.516666666667,309.256097292,619.042177992,263.819324289,4624.22606407,773053.303605,30505.3802874,-5992347.95468,2855460.04222
3,time_plus,MISSION_OK,1,1,0.52,311.25129792,626.850841269,265.924143102,4635.25301304,769901.805914,39481.9927883,-5994530.77244,2855662.62748
3,time_plus,MISSION_OK,1,1,0.523333333333,313.246498547,634.675998175,268.018741395,4646.35764607,766750.429858,48479.8141798,-5996696.87499,2855855.08011
3,time_plus,MISSION_OK,1,1,0.526666666667,315.241699175,642.52502282,270.098617454,4657.57137131,763599.170228,57508.2567216,-5998838.84261,2856032.90131
3,time_plus,MISSION_OK,1,1,0.53,317.236899803,650.399966122,272.162688115,4668.90792694,760448.097323,66569.8222067,-6000954.73966,2856194.91106
3,time_plus,MISSION_OK,1,1,0.533333333333,319.23210043,658.292480623,274.21613997,4680.32476608,757297.098134,75653.7711613,-6003053.03551,2856346.24272
3,time_plus,MISSION_OK,1,1,0.536666666667,321.227301058,666.209966845,276.25458243,4691.85678198,754146.218415,84769.4473346,-6005126.3797,2856482.43587
3,time_plus,MISSION_OK,1,1,0.54,323.222501686,674.150839683,278.279126214,4703.49732754,750995.450632,93914.7338799,-6007176.47377,2856604.51667
3,time_plus,MISSION_OK,1,1,0.543333333333,325.217702313,682.11457665,280.290181139,4715.23996559,747844.742723,103088.87663,-6009203.91173,2856712.84385
3,time_plus,MISSION_OK,1,1,0.546666666667,327.212902941,690.101699407,282.287551985,4727.09222361,744694.15223,112292.443006,-6011208.2599,2856807.15112
3,time_plus,MISSION_OK,1,1,0.55,329.208103569,698.115528876,284.269457457,4739.06369872,741543.626308,121529.493782,-6013186.35825,2856885.51451
3,time_plus,MISSION_OK,1,1,0.553333333333,331.203304197,706.14574955,286.241919867,4751.10981944,738393.155823,130787.046741,-6015148.38149,2856954.11349
3,time_plus,MISSION_OK,1,1,0.556666666667,333.198504824,714.203854612,288.198457743,4763.28428123,735242.786332,140079.373934,-6017083.15942,2857006.1588
3,time_plus,MISSION_OK,1,1,0.56,335.193705452,722.285882225,290.141463043,4775.56376456,732092.456393,149401.432746,-6018994.65629,2857044.05564
3,time_plus,MISSION_OK,1,1,0.563333333333,337.18890608,730.391777009,292.071055784,4787.95067146,728942.188947,158753.064078,-6020882.98878,2857067.87431
3,time_plus,MISSION_OK,1,1,0.566666666667,339.184106707,738.521910837,293.987158499,4800.44724832,725791.986776,168134.641852,-6022747.88972,2857077.44783
3,time_plus,MISSION_OK,1,1,0.57,341.179307335,746.676743338,295.889612156,4813.0513058,722641.818377,177546.640944,-6024588.98228,2857072.54611
3,time_plus,MISSION_OK,1,1,0.573333333333,343.174507963,754.857085119,297.778075629,4825.77067854,719491.715779,186989.961776,-6026405.55877,2857052.73758
3,time_plus,MISSION_OK,1,1,0.576666666667,345.16970859,763.061132202,299.653662773,4838.59444194,716341.65342,196462.304747,-6028199.4401,2857019.1254
