time_s,delta_r_m,log_delta_r
125.441367826,195.147485512,5.27375560864
125.740750566,196.460636618,5.28046208869
126.040133305,197.781335954,5.28716205656
126.339516045,199.10964423,5.29385564902
126.638898784,200.445599439,5.30054288544
126.938281524,201.789234675,5.30722375999
127.237664263,203.140603241,5.31389836609
127.537047002,204.499784082,5.32056691965
127.836429742,205.866811858,5.32722941531
128.135812481,207.241730302,5.33388589118
128.435195221,208.624591291,5.34053642292
128.73457796,210.015441856,5.34718106066
129.0339607,211.414339746,5.35381990342
129.333343439,212.82131872,5.3604529344
129.632726179,214.236452873,5.36708032501
129.932108918,215.659798243,5.37370215792
130.231491657,217.091424677,5.38031857669
130.530874397,218.531376028,5.38692960161
130.830257136,219.979700948,5.39353527368
131.129639876,221.436470683,5.40013573427
131.429022615,222.90172312,5.40673097082
131.728405355,224.375476438,5.41332088264
132.027788094,225.857786694,5.41990553879
132.327170834,227.348690479,5.42648492032
132.626553573,228.848163664,5.43305874288
132.925936312,230.356268871,5.43962710556
133.225319052,231.873066167,5.44619009335
133.524701791,233.398605463,5.45274774495
133.824084531,234.932853537,5.45929974368
134.12346727,236.475866328,5.4658461576
134.42285001,238.027701421,5.47238705942
134.722232749,239.58832656,5.47892214452
135.021615489,241.157799735,5.48545148991
135.320998228,242.736196461,5.49197524237
135.620380967,244.323541647,5.4984933373
135.919763707,245.919819169,5.50500554447
136.219146446,247.525071144,5.51151187443
136.518529186,249.139358651,5.5180124132
136.817911925,250.76269451,5.52450705172
137.117294665,252.395078563,5.53099563191
137.416677404,254.036572079,5.53747824122
137.716060143,255.687215905,5.54395488459
138.015442883,257.346956048,5.55042519796
138.314825622,259.015885898,5.55688939533
138.614208362,260.694054604,5.56334751517
138.913591101,262.381543993,5.5697997192
139.212973841,264.078305579,5.57624567121
139.51235658,265.784416806,5.58268551704
139.81173932,267.499928207,5.58911929795
140.111122059,269.224888085,5.59554704552
140.410504798,270.959252257,5.6019684489
140.709887538,272.703083898,5.60838359854
141.009270277,274.456449995,5.61479259625
141.308653017,276.219337351,5.62119525066
141.608035756,277.99177131,5.62759151365
141.907418496,279.773815032,5.63398147326
142.206801235,281.565515358,5.64036515712
142.506183975,283.366849946,5.64674234775
142.805566714,285.177873502,5.65311310314
143.104949453,286.998653301,5.65947752342
143.404332193,288.829172159,5.66583541355
143.703714932,290.669458384,5.67218673973
144.003097672,292.519580798,5.67853160733
144.302480411,294.379581839,5.68487002928
144.601863151,296.249428911,5.69120176472
144.90124589,298.129196085,5.69752693646
145.20062863,300.018935485,5.70384559095
145.500011369,301.91869716,5.71015776643
145.799394108,303.828448714,5.71646322868
146.098776848,305.748266415,5.72276210461
146.398159587,307.678217679,5.72905448905
146.697542327,309.618288541,5.73534021148
146.996925066,311.568506149,5.74161923748
147.296307806,313.528941728,5.74789167393
147.595690545,315.49967812,5.75415766176
147.895073285,317.480697519,5.76041702127
148.194456024,319.472014403,5.76666967813
148.493838763,321.473708528,5.77291576282
148.793221503,323.485794465,5.77915520097
149.092604242,325.508267085,5.78538785944
149.391986982,327.541194613,5.79161383224
149.691369721,329.584642682,5.79783320315
149.990752461,331.638571086,5.80404573461
150.2901352,333.703040457,5.81025149706
150.58951794,335.778122479,5.81645059207
150.888900679,337.863825739,5.82264293188
151.188283418,339.960123608,5.82882832723
