phase,interval_index,position_defect_m,velocity_defect_m_s,mass_defect_kg,max_relative_defect
ship,49,9.31322574615e-10,0,1.16415321827e-10,1.55335308456e-16
ship,50,9.31322574615e-10,9.37485680337e-13,0,2.13173167878e-16
ship,51,1.04135197254e-09,9.37485680337e-13,0,2.16854994498e-16
ship,52,1.04135197254e-09,9.09522456925e-13,1.16415321827e-10,1.98558015846e-16
ship,53,9.31436254515e-10,2.27484670654e-13,0,2.24682391446e-16
ship,54,4.65661287308e-10,0,0,1.63000257897e-16
ship,55,4.65661287308e-10,3.5527136788e-15,2.32830643654e-10,3.15283309921e-16
ship,56,2.91038304567e-11,7.1054273576e-15,1.16415321827e-10,3.96472790494e-16
ship,57,4.66569895562e-10,1.13686837722e-13,0,1.80534346648e-16
ship,58,1.04125029291e-09,9.0951031415e-13,0,1.07206037546e-15
ship,59,9.31322574615e-10,9.0950164064e-13,0,2.14869544595e-16
ship,60,2.91038304567e-11,1.13908665909e-13,0,2.52159533761e-16
ship,61,0,0,1.16415321827e-10,1.64351141218e-16
ship,62,2.91038304567e-11,7.1054273576e-15,0,1.37393882503e-16
ship,63,0,0,0,0
ship,64,4.65661287308e-10,1.42108547152e-14,0,1.87977698804e-16
ship,65,9.31322574615e-10,0,0,1.54109886619e-16
ship,66,9.31322574615e-10,9.16682746656e-13,0,1.84784880169e-16
ship,67,4.6928516521e-10,1.14571573538e-13,0,1.84987431749e-16
ship,68,0,9.16572588301e-13,1.16415321827e-10,1.82871050991e-16
ship,69,9.31322574615e-10,1.17185710042e-13,0,2.07576598121e-16
ship,70,0,9.16572588301e-13,0,1.80970654273e-16
ship,71,5.82076609135e-11,0,1.16415321827e-10,1.76897798988e-16
ship,72,9.33139791123e-10,9.09938682615e-13,1.16415321827e-10,1.79083704584e-16
ship,73,9.33139791123e-10,9.16572588301e-13,0,1.83896571898e-16
ship,74,1.04287597742e-09,9.09494701773e-13,0,1.77210219131e-16
ship,75,0,1.13686837722e-13,0,1.97606260317e-16
ship,76,1.04773789644e-09,9.16572588301e-13,1.16415321827e-10,2.53211644661e-16
ship,77,4.65661287308e-10,9.09938682615e-13,1.16415321827e-10,1.85388736027e-16
ship,78,9.3857033042e-10,9.11269327269e-13,1.16415321827e-10,2.36163775676e-16
ship,79,5.82076609135e-11,9.11269327269e-13,0,1.72585527554e-16
ship,80,9.31322574615e-10,9.09494701773e-13,0,1.71670722806e-16
ship,81,1.04125029291e-09,5.68434188608e-14,0,1.63596868467e-16
ship,82,4.65661287308e-10,9.11269327269e-13,0,1.6985125762e-16
ship,83,4.79992668333e-10,5.68434188608e-14,0,2.01594671648e-16
ship,84,0,9.11269327269e-13,0,1.68045321015e-16
ship,85,9.31322574615e-10,0,0,1.53186883254e-16
ship,86,0,9.13040503531e-13,0,1.75075915757e-16
ship,87,4.65661287308e-10,0,1.16415321827e-10,2.01508438317e-16
ship,88,4.79992668333e-10,0,1.16415321827e-10,2.03275907316e-16
ship,89,9.31322574615e-10,2.84217094304e-14,1.16415321827e-10,2.05074652482e-16
ship,90,0,9.09938682615e-13,2.32830643654e-10,4.1381102377e-16
ship,91,1.04125029291e-09,2.84217094304e-14,0,1.64269995857e-16
ship,92,9.31322574615e-10,6.35528743231e-14,0,1.61571177281e-16
ship,93,0,5.68434188608e-14,1.16415321827e-10,2.12599617625e-16
ship,94,4.79992668333e-10,9.09938682615e-13,1.16415321827e-10,2.28898035441e-16
ship,95,4.65661287308e-10,0,1.16415321827e-10,2.16573048472e-16
ship,96,9.31322574615e-10,0,0,1.52999576904e-16
ship,97,0,1.13908665909e-13,1.16415321827e-10,2.20697830508e-16
ship,98,1.04125029291e-09,1.13742335327e-13,0,2.06630276219e-16
ship,99,4.65661287308e-10,9.09494701773e-13,5.82076609135e-11,1.65015885798e-16
ship,100,9.31322574615e-10,7.1054273576e-15,0,1.86330077253e-16
ship,101,1.04125029291e-09,1.14571573538e-13,0,2.1441130369e-16
ship,102,9.59985336665e-10,9.16682746656e-13,5.82076609135e-11,2.53004087888e-16
ship,103,9.59985336665e-10,9.16682746656e-13,0,2.47874270378e-16
ship,104,9.59985336665e-10,1.17185710042e-13,5.82076609135e-11,2.42921622235e-16
ship,105,0,0,5.82076609135e-11,1.19448897867e-16
ship,106,4.79992668333e-10,9.09938682615e-13,0,1.65837408128e-16
ship,107,0,9.16572588301e-13,5.82076609135e-11,1.6086363678e-16
ship,108,1.16415321827e-10,9.16572588301e-13,5.82076609135e-11,1.56814683661e-16
ship,109,2.32830643654e-10,0,0,2.20521036879e-16
ship,110,0,9.16572588301e-13,5.82076609135e-11,1.49174568143e-16
ship,111,5.20625146455e-10,1.27105748646e-13,0,2.12527832151e-16
ship,112,0,9.11269327269e-13,5.82076609135e-11,1.44156268734e-16
ship,113,2.32830643654e-10,1.27105748646e-13,0,2.05013055226e-16
ship,114,0,9.09494701773e-13,0,1.42544519741e-16
ship,115,9.59985336665e-10,9.09494701773e-13,0,1.97935126592e-16
ship,116,2.32830643654e-10,1.81898940355e-12,5.82076609135e-11,2.81888354759e-16
ship,117,2.32830643654e-10,0,5.82076609135e-11,1.91257137222e-16
ship,118,1.04125029291e-09,9.09494701773e-13,5.82076609135e-11,1.67665051325e-16
ship,119,0,0,5.82076609135e-11,1.39595458249e-16
ship,120,1.04125029291e-09,9.16572588301e-13,5.82076609135e-11,1.69258377252e-16
ship,121,1.04125029291e-09,1.13686837722e-13,5.82076609135e-11,1.68215039527e-16
ship,122,5.20625146455e-10,9.16572588301e-13,5.82076609135e-11,1.76104616903e-16
ship,123,4.65661287308e-10,0,5.82076609135e-11,1.68604466399e-16
ship,124,4.65661287308e-10,1.13686837722e-13,5.82076609135e-11,1.6880626043e-16
ship,125,0,2.54211497293e-13,0,2.12305777923e-16
ship,126,9.59985336665e-10,9.37485680337e-13,5.82076609135e-11,2.07890815531e-16
ship,127,1.04125029291e-09,2.27373675443e-13,0,2.03600470505e-16
ship,128,9.59985336665e-10,9.37485680337e-13,0,1.99429380191e-16
ship,129,5.20625146455e-10,2.27373675443e-13,0,2.23900272579e-16
ship,130,5.20625146455e-10,9.09494701773e-13,5.82076609135e-11,1.70121901122e-16
ship,131,9.31322574615e-10,1.01684598917e-12,5.82076609135e-11,4.14138591958e-16
ship,132,1.04125029291e-09,9.37485680337e-13,0,1.9940772632e-16
ship,133,4.65661287308e-10,9.09494701773e-13,0,1.70851648124e-16
ship,134,0,2.27373675443e-13,0,1.85378458729e-16
ship,135,9.31322574615e-10,9.37485680337e-13,5.82076609135e-11,1.78939122768e-16
ship,136,2.32830643654e-10,0,5.82076609135e-11,1.75567298473e-16
ship,137,9.31322574615e-10,0,0,1.5492792041e-16
ship,138,1.04125029291e-09,3.21554935538e-13,5.82076609135e-11,2.77428711559e-16
ship,139,2.32830643654e-10,2.27373675443e-13,5.82076609135e-11,1.83971200592e-16
